id,name,movie_id
35.0,Comedy,8211
10769.0,Foreign,8211
9648.0,Mystery,21832
16.0,Animation,21832
878.0,Science Fiction,21832
28.0,Action,21832
80.0,Crime,15588
28.0,Action,15588
35.0,Comedy,15588
12.0,Adventure,15588
28.0,Action,28677
12.0,Adventure,28677
35.0,Comedy,28677
35.0,Comedy,18785
35.0,Comedy,34300
10751.0,Family,34300
27.0,Horror,14451
35.0,Comedy,14451
12.0,Adventure,18061
18.0,Drama,18061
36.0,History,18061
10752.0,War,18061
12.0,Adventure,27085
14.0,Fantasy,27085
878.0,Science Fiction,27085
10769.0,Foreign,75015
28.0,Action,75015
36.0,History,75015
35.0,Comedy,75015
878.0,Science Fiction,8373
28.0,Action,8373
12.0,Adventure,8373
16.0,Animation,8355
35.0,Comedy,8355
10751.0,Family,8355
12.0,Adventure,8355
16.0,Animation,18901
10751.0,Family,18901
12.0,Adventure,18901
35.0,Comedy,18901
14.0,Fantasy,14728
28.0,Action,14728
12.0,Adventure,14728
35.0,Comedy,14728
12.0,Adventure,767
14.0,Fantasy,767
10751.0,Family,767
35.0,Comedy,10353
14.0,Fantasy,10353
18.0,Drama,9592
27.0,Horror,9592
53.0,Thriller,9592
35.0,Comedy,23964
27.0,Horror,53868
27.0,Horror,21407
53.0,Thriller,21407
12.0,Adventure,14869
28.0,Action,14869
53.0,Thriller,14869
878.0,Science Fiction,14869
28.0,Action,17134
12.0,Adventure,17134
18.0,Drama,17134
53.0,Thriller,17134
35.0,Comedy,50719
27.0,Horror,50719
16.0,Animation,15137
878.0,Science Fiction,15137
28.0,Action,15137
18.0,Drama,15137
16.0,Animation,37047
35.0,Comedy,37047
10749.0,Romance,37047
28.0,Action,92011
27.0,Horror,18759
878.0,Science Fiction,18759
53.0,Thriller,18759
27.0,Horror,15641
53.0,Thriller,15641
10770.0,TV Movie,35203
18.0,Drama,35203
27.0,Horror,24150
35.0,Comedy,5060
80.0,Crime,15809
18.0,Drama,15809
35.0,Comedy,18120
53.0,Thriller,17618
27.0,Horror,17618
27.0,Horror,19912
9648.0,Mystery,19912
16.0,Animation,22794
35.0,Comedy,22794
10751.0,Family,22794
27.0,Horror,17455
9648.0,Mystery,17455
53.0,Thriller,17455
27.0,Horror,12699
53.0,Thriller,12699
27.0,Horror,23827
9648.0,Mystery,23827
35.0,Comedy,44685
10749.0,Romance,44685
16.0,Animation,44685
10402.0,Music,44685
18.0,Drama,71041
12.0,Adventure,71041
53.0,Thriller,71041
10749.0,Romance,71041
27.0,Horror,22804
9648.0,Mystery,22804
28.0,Action,22821
53.0,Thriller,22821
80.0,Crime,22821
12.0,Adventure,70555
18.0,Drama,70555
10749.0,Romance,70555
878.0,Science Fiction,105077
28.0,Action,105077
12.0,Adventure,105077
18.0,Drama,105077
12.0,Adventure,18239
14.0,Fantasy,18239
18.0,Drama,18239
10749.0,Romance,18239
35.0,Comedy,1284
80.0,Crime,1284
28.0,Action,25716
35.0,Comedy,25716
53.0,Thriller,25716
27.0,Horror,37190
35.0,Comedy,37190
28.0,Action,19995
12.0,Adventure,19995
14.0,Fantasy,19995
878.0,Science Fiction,19995
28.0,Action,10528
12.0,Adventure,10528
80.0,Crime,10528
9648.0,Mystery,10528
